alpha,auc,beta,build_seconds,converged,epsilon,experiment,friend_attacks,gamma,iterations,lambda1,lambda2,max_iterations,method,propagation_seconds,repeat,residual,runtime_beta,seed_count,x,xi,zeta
0.1,0.6669043370740793,0.4,1.55328716099757,True,0.001,beta,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.4,2e-05,0.27
0.1,0.6314251303000422,0.4,0.015548961004242301,True,0.001,beta,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.4,2e-05,0.27
0.1,0.7271991516802053,0.6,0.060948502003157046,True,0.001,beta,3200,0.425,10,2.0,3.0,100000,scasan,0.047854660006123595,0,0.0005716046411972452,,10,0.6,2e-05,0.27
0.1,0.6669043370740793,0.6,1.55328716099757,True,0.001,beta,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.6,2e-05,0.27
0.1,0.6314251303000422,0.6,0.015548961004242301,True,0.001,beta,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.6,2e-05,0.27
0.1,0.6609041336025419,0.8,0.060789784001826774,True,0.001,beta,3200,0.425,7,2.0,3.0,100000,scasan,0.03442133900534827,0,0.0007621106386811627,,10,0.8,2e-05,0.27
0.1,0.6669043370740793,0.8,1.55328716099757,True,0.001,beta,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.8,2e-05,0.27
0.1,0.6314251303000422,0.8,0.015548961004242301,True,0.001,beta,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.8,2e-05,0.27
0.1,0.864813995711446,0.04,0.07447501299611758,True,0.001,outgoing_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.15462054299860029,0,0.0009575168004207518,,10,0.27,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,outgoing_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,0.27,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,outgoing_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,0.27,2e-05,0.27
0.1,0.8656622059444993,0.04,0.06478825899830554,True,0.001,outgoing_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.1342241800011834,0,0.0009575157940447597,,10,0.54,2e-05,0.54
0.1,0.6670378144026545,0.04,1.518745866997051,True,0.001,outgoing_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9606360819961992,0,0.0009024074263886108,,10,0.54,2e-05,0.54
0.1,0.6314251303000422,0.04,0.015938953998556826,True,0.001,outgoing_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012863869000284467,0,0.0008538004026851335,,10,0.54,2e-05,0.54
0.1,0.86849359064657,0.04,0.06618789999629371,True,0.001,outgoing_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.13333642200450413,0,0.0009575156510320366,,10,1.08,2e-05,1.08
0.1,0.6676499820005948,0.04,1.481090392000624,True,0.001,outgoing_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9422538479993818,0,0.0009023979697641817,,10,1.08,2e-05,1.08
0.1,0.6314251303000422,0.04,0.02039107100426918,True,0.001,outgoing_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012430979004420806,0,0.0008538004026851335,,10,1.08,2e-05,1.08
0.1,0.8699084221564852,0.04,0.06439249999675667,True,0.001,outgoing_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.13773921699612401,0,0.0009575186994826721,,10,2.16,2e-05,2.16
0.1,0.6680000939099404,0.04,1.5124242699966999,True,0.001,outgoing_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9350787030052743,0,0.0009024384916357421,,10,2.16,2e-05,2.16
0.1,0.6314251303000422,0.04,0.019918268000765238,True,0.001,outgoing_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012769715998729225,0,0.0008538004026851335,,10,2.16,2e-05,2.16
0.1,0.8744919159193001,0.04,0.0643616769957589,True,0.001,outgoing_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.13897030299995095,0,0.0009574114508303437,,10,4.32,2e-05,4.32
0.1,0.669241098120236,0.04,1.5183461510023335,True,0.001,outgoing_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9185603430014453,0,0.0009024591641297429,,10,4.32,2e-05,4.32
0.1,0.6314251303000422,0.04,0.018775102005747613,True,0.001,outgoing_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.013028046996623743,0,0.0008538004026851335,,10,4.32,2e-05,4.32
0.1,0.8808264387785447,0.04,0.0659392969973851,True,0.001,outgoing_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.13739022599474993,0,0.0009578537092078362,,10,8.64,2e-05,8.64
0.1,0.670603324411889,0.04,1.5167486049977015,True,0.001,outgoing_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9250293660006719,0,0.0009025126087261552,,10,8.64,2e-05,8.64
0.1,0.6314251303000422,0.04,0.019135643997287843,True,0.001,outgoing_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.01276877699274337,0,0.0008538004026851335,,10,8.64,2e-05,8.64
0.1,0.8896146249080465,0.04,0.06567967000592034,True,0.001,outgoing_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.13443679200281622,0,0.0009577463217201277,,10,17.28,2e-05,17.28
0.1,0.6739341691318026,0.04,1.5118931699980749,True,0.001,outgoing_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9253233730050852,0,0.0009026385114665536,,10,17.28,2e-05,17.28
0.1,0.6314251303000422,0.04,0.019131118002405856,True,0.001,outgoing_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012528789004136343,0,0.0008538004026851335,,10,17.28,2e-05,17.28
0.1,0.8845513922148659,0.04,0.05757719499524683,True,0.001,seed_count,3200,0.425,27,2.0,3.0,100000,scasan,0.12631831399630755,0,0.0009890859147152432,,5,5.0,2e-05,0.27
0.1,0.70591729664585,0.04,0.8084201040037442,True,0.001,seed_count,3200,0.425,16,2.0,3.0,100000,socact,0.5595581919988035,0,0.0006984979364014801,,5,5.0,2e-05,0.27
0.1,0.6723633062559672,0.04,0.02005191799980821,True,0.001,seed_count,3200,0.425,8,2.0,3.0,100000,friendship,0.016733923999709077,0,0.0009752212704019079,,5,5.0,2e-05,0.27
0.1,0.864813995711446,0.04,0.07447501299611758,True,0.001,seed_count,3200,0.425,28,2.0,3.0,100000,scasan,0.15462054299860029,0,0.0009575168004207518,,10,10.0,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,seed_count,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,10.0,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,seed_count,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,10.0,2e-05,0.27
0.1,0.8839786980951934,0.04,0.06305624900414841,True,0.001,seed_count,3200,0.425,28,2.0,3.0,100000,scasan,0.14014786199550144,0,0.0009665911891339775,,15,15.0,2e-05,0.27
0.1,0.6972012490022069,0.04,2.166101686998445,True,0.001,seed_count,3200,0.425,15,2.0,3.0,100000,socact,1.2632069530009176,0,0.0009443940582767465,,15,15.0,2e-05,0.27
0.1,0.6504179461896041,0.04,0.02005177899991395,True,0.001,seed_count,3200,0.425,8,2.0,3.0,100000,friendship,0.01626022099662805,0,0.0006715941160271383,,15,15.0,2e-05,0.27
0.1,0.8904171323034543,0.04,0.07081431199912913,True,0.001,seed_count,3200,0.425,23,2.0,3.0,100000,scasan,0.12589680300152395,0,0.0009758783597180632,,20,20.0,2e-05,0.27
0.1,0.68096761672223,0.04,2.949853769998299,True,0.001,seed_count,3200,0.425,14,2.0,3.0,100000,socact,1.6216180979972705,0,0.0008995816691826967,,20,20.0,2e-05,0.27
0.1,0.5751348703260241,0.04,0.019441262003965676,True,0.001,seed_count,3200,0.425,7,2.0,3.0,100000,friendship,0.014132600001175888,0,0.0008585454824140944,,20,20.0,2e-05,0.27
0.1,0.8570680377517961,0.04,0.060467706003692,True,0.001,lambda1,3200,0.425,31,1.0,3.0,100000,scasan,0.14918682300049113,0,0.0009124858810594367,,10,1.0,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,lambda1,3200,0.425,15,1.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,1.0,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,lambda1,3200,0.425,6,1.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,1.0,2e-05,0.27
0.1,0.8615730854110908,0.04,0.06038309900031891,True,0.001,lambda1,3200,0.425,30,1.5,3.0,100000,scasan,0.14657549899857258,0,0.0008378745619342108,,10,1.5,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,lambda1,3200,0.425,15,1.5,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,1.5,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,lambda1,3200,0.425,6,1.5,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,1.5,2e-05,0.27
0.1,0.864813995711446,0.04,0.07447501299611758,True,0.001,lambda1,3200,0.425,28,2.0,3.0,100000,scasan,0.15462054299860029,0,0.0009575168004207518,,10,2.0,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,lambda1,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,2.0,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,lambda1,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,2.0,2e-05,0.27
0.1,0.8671919049631404,0.04,0.06045948900282383,True,0.001,lambda1,3200,0.425,27,2.5,3.0,100000,scasan,0.13252834800368873,0,0.0009670342720656022,,10,2.5,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,lambda1,3200,0.425,15,2.5,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,2.5,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,lambda1,3200,0.425,6,2.5,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,2.5,2e-05,0.27
0.1,0.8667880609162479,0.04,0.05984983300004387,True,0.001,lambda2,3200,0.425,28,2.0,2.5,100000,scasan,0.13539719900290947,0,0.0008209898442289756,,10,2.5,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,lambda2,3200,0.425,15,2.0,2.5,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,2.5,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,lambda2,3200,0.425,6,2.0,2.5,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,2.5,2e-05,0.27
0.1,0.864813995711446,0.04,0.07447501299611758,True,0.001,lambda2,3200,0.425,28,2.0,3.0,100000,scasan,0.15462054299860029,0,0.0009575168004207518,,10,3.0,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,lambda2,3200,0.425,15,2.0,3.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,3.0,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,lambda2,3200,0.425,6,2.0,3.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,3.0,2e-05,0.27
0.1,0.8630962733405331,0.04,0.06143488999805413,True,0.001,lambda2,3200,0.425,29,2.0,3.5,100000,scasan,0.13900231799925677,0,0.0009173166232248882,,10,3.5,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,lambda2,3200,0.425,15,2.0,3.5,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,3.5,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,lambda2,3200,0.425,6,2.0,3.5,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,3.5,2e-05,0.27
0.1,0.8615085692820585,0.04,0.06228833200293593,True,0.001,lambda2,3200,0.425,30,2.0,4.0,100000,scasan,0.14963098800217267,0,0.0008378745148983884,,10,4.0,2e-05,0.27
0.1,0.6669043370740793,0.04,1.55328716099757,True,0.001,lambda2,3200,0.425,15,2.0,4.0,100000,socact,0.9285143509987392,0,0.0009024084513875882,,10,4.0,2e-05,0.27
0.1,0.6314251303000422,0.04,0.015548961004242301,True,0.001,lambda2,3200,0.425,6,2.0,4.0,100000,friendship,0.012258280999958515,0,0.0008538004026851335,,10,4.0,2e-05,0.27
0.1,0.7936277566480412,0.3,0.060769807001634035,True,0.002,runtime_beta_0.3,3200,0.425,14,2.0,3.0,100000,scasan,0.06969166999624576,0,0.0016264912776805067,0.3,10,0.002,2e-05,0.27
0.1,0.6618505110265922,0.3,1.5042193499975838,True,0.002,runtime_beta_0.3,3200,0.425,13,2.0,3.0,100000,socact,0.8225201820023358,0,0.0019080351246108312,0.3,10,0.002,2e-05,0.27
